Input Sentence,Gold,GPT-2,KGLM
Paris Hilton was born in __,New York City,New,1981
Arnold Schwarzenegger was born on __,1947-07-30,July,30
Bob Dylan was born in __,Duluth,New,Duluth
Barack Obama was born on __,1961-08-04,January,August
Ulysses is a book that was written by __,James Joyce,a,James
St. Louis is a city in the state of __,Missouri,Missouri,Oldham
Richard Nixon was born on __,1913-01-09,January,20
Kanye West is married to __,Kim Kardashian,Kim,the
The capital of India is __,New Delhi,the,a
Madonna is married to __,Carlos Leon,a,Alex
