United States,
Owned/leased,"10,982"
Distributors/resellers Total United States,"10,982"
Canada,
Owned/leased,"2,370"
Distributors/resellers,"2,370"
Total Canada,
Europe,
Owned/leased,197
Distributors/resellers,"5,764"
Total Europe,"5,961"
Asia Pacific,
Owned/leased,569
Distributors/resellers,"1,243"
Total Asia Pacific,"1,812"
Latin America,
Owned/leased,
Distributors/resellers,411
Total Latin America,411
MiddleEast/Africa,
Owned/leased,225
Distributors/resellers,192
Total Middle East/Africa,417
Worldwide,
Owned/leased,991
Distributors/resellers,"20,962"
TotalWorldwide,"21,953"
