,U.S.Pension Fair Value Measurement at,U.S.Pension Fair Value Measurement at,U.S.Pension Fair Value Measurement at,U.S.Pension Fair Value Measurement at,U.S.Pension Fair Value Measurement at,Non- U.S.Pension,Non- U.S.Pension,Non- U.S.Pension,Non- U.S.Pension,Non- U.S.Pension
,"December31,2020,Using:","December31,2020,Using:","December31,2020,Using:","December31,2020,Using:","December31,2020,Using:","Fair Value Measurement at December31,2020,Using:","Fair Value Measurement at December31,2020,Using:","Fair Value Measurement at December31,2020,Using:","Fair Value Measurement at December31,2020,Using:","Fair Value Measurement at December31,2020,Using:"
,Level1,Level 2,Level 3,Net Asset Value,Total,Level1,Level 2,Level 3,Net Asset Value,Total
Asset category:,,,,,,(millions ofdollars),,,,
Equity securities,,,,,,,,,,
U.S.,,,,"2,323","2,323",89 (1),,,"4,177","4,177"
Non-U.S.,,,,"1,703","1,703",,,,"3,285","3,374"
Private equity Debt securities,,,,548,548,,,,530,530
,,"5,146 (2)",,,,,,,,
Corporate,,"5,261 (2)",,1,"5,147",250 (3),138 (2),,"5,212","5,350"
Government,,,,2,"5,263",,116 (2),,"11,993","12,359"
Asset-backed,,,,1,1,一,24 (2),,239,263
Cash Total at fair value,,"10,407",,"308 4,886","308 15,293",69 408,21 (4) 299,,"50 25,486","140 26,193"
Insurance contracts at,,,,,,,,,,
contract value,,,,,7,,,,,23
Total plan assets,,,,,"15,300",,,,,"26,216"
