(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,,,,,,,
(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,Effect of in Carrying Net,Effect of in Carrying Net,Effect of in Carrying Net,Effect of in Carrying Net,Effect of in Carrying Net,,
(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,(millions of dollars)Fair ValueDifferenceTotal Gross Effect of Effect of in Carrying NetAssets& Counterparty Collateral Value and CarryingLevel 1 Level 2 Level 3 Liabilities Neting Netting FairValue Value,Assets&Liabilities,Counterparty Collateral Value and CarryingNeting Netting FairValue Value,Counterparty Collateral Value and CarryingNeting Netting FairValue Value,Counterparty Collateral Value and CarryingNeting Netting FairValue Value,Counterparty Collateral Value and CarryingNeting Netting FairValue Value,Counterparty Collateral Value and CarryingNeting Netting FairValue Value,Counterparty Collateral Value and CarryingNeting Netting FairValue Value
Assets,,,,,,,,,,,,,,,,,,,,,
Derivative assets (l),"1,247","1,247","1,247",194,194,,,"1,441","(1,282)",(6),,,153,153,,,,,,,
Advances to/receivables from equity,,,,"3,275","3,275",,,,,,,,,,,,,,,,
companies (2)(6),,,,"3,275","3,275",,,,,,,,,,,,,,,,
companies (2)(6),,,,"3,275","3,275","5,904","5,904","9,179",,,"(367) 8,812","(367) 8,812","(367) 8,812","(367) 8,812",,,,,,,
Other long-term financial assets (3)Liabilities,"1,235","1,235","1,235",254,254,944,944,"2,179","(1,282)",(202),"125 2,304213","125 2,304213","125 2,304213","125 2,304213",,,,,,,
Other long-term financial assets (3)Liabilities,,,,254,254,944,944,,"(1,282)",(202),"125 2,304213","125 2,304213","125 2,304213","125 2,304213",,,,,,,
