,Crude Oil and Natural Gas Liquids,Crude Oil and Natural Gas Liquids,Crude Oil and Natural Gas Liquids,Crude Oil and Natural Gas Liquids,Crude Oil and Natural Gas Liquids,Crude Oil and Natural Gas Liquids,Crude Oil and Natural Gas Liquids,Synthetic Bitumen Oil,Synthetic Bitumen Oil,
,United States,Canada/ Other,,,Australia/,,,Canada/ Canada/ Other Other,,
,Americas Europe,,Africa,,Asia,Oceania,Total,Americas,Americas,Total
"Proved developed reserves, as of",,,,,,(millions of barrels),,,,
"December31,2018",,,,,,,"4,953",,,
Consolidated subsidiaries Equity companies,"1,696 208",153,123 15,578,"2,285 919",118,"1,142","3,880",466,"9,299 1,142"
"Proved undeveloped reserves, as of",,,,,,,,,,
"December 31,2018 Consolidated subsidiaries",2.616,403,78,111,"1,173",35,"4,416",305,,"4,721"
Equity companies,56,,,6,433,,495,,,495
"Total liquids proved reserves at December31,2018","4,576",556,216,695,"4,810",153,"11,006","4,185",466,"15,657"
"Proved developed reserves, as of",,,,,,,,,,
"December31,2019 Consolidated subsidiaries","1,655",195,23,419,"2,309",90,"4,691","3,528",415,"8,634"
Equity companies,200,,13,,727,,940,,,940
"Proved undeveloped reserves,as of",,,,,,,,,,
"December 31,2019 Consolidated subsidiaries","2,474",381,29,68,"1,157",35,"4,144",330,,"4,474"
Equity companies,60,,1,6,483,,550,,,550
"Total liquids proved reserves at December31,2019","4,389",576,66,493,"4,676",125,"10,325","3,858",415,"14,598"
"Proved developed reserves, as of",,,,,,,,,,
"December 31,2020 Consolidated subsidiaries","1,473",,,345,"2,299",67,"4,490",76,311,"4,877"
Equity companies,111,293,13 8,,646,,765,,,765
"Proved undeveloped reserves, as of",,,,,,,,,,
"December 31,2020",,,,,,,,,,
Consolidated subsidiaries,"1,342",209,16,42,975,38,"2,622",5,133,"2,760"
Equity companies Total liquids proved reserves at,24,,1,6,452,,483,,,483
