Lease Cost,Drilling Rigs and Related Equipment,Other,Total,Finance Leases
Operating lease cost,297,"1,256","1,553",530
Short-term and other (net of sublease rental income),530,"1,083","1,613",143
Amortization of right of use assets,169,312,312,169
Interest on lease liabilities,,,,312
Total,"1,164","2,312","3,476",254
Operating lease cost,238,"1,196","1,434",926
Short-term and other (net of sublease rental income),"1,196","1,116","2,042",121
Amortization of right of use assets,,,,133
Interest on lease liabilities,,,,254
Total,"1,164","2,312","3,476",254
