United States,Canada/Other Americas,Europe,Africa,Asia,Australia/Oceania,Total
Results of Operations,,,,,,
Consolidated Subsidiaries,,,,,,
2019 - Revenue,,,,,,
Sales to third parties,"5,070","1,452","2,141",802,"2,393","3,132,14,990"
Transfers,"6,544","5,979","1,345","7,892","8,706","628,31,094"
"11,614","7,431","3,486","8,694","11,099","3,760","46,084"
Production costs excluding taxes,"4,697","4,366","1,196","2,387","1,597","637,14,880"
Exploration expenses,120,498,118,234,119,"180,1,269"
Depreciation and depletion,"5,916","1,975",601,"3,019","2,264","703,14,478"
Taxes other than income,998,122,113,682,"1,182","250,3,347"
Related income tax,(29),(423),(20),"1,188","4,238","599,5,553"
Results of producing activities for consolidated subsidiaries,(88),893,"1,478","1,184","1,699","1,391,6,557"
Equity Companies,,,,,,
Sales to third parties,664,—,"1,248",—,"10,536","—,12,448"
Transfers,530,—,6,—,464,"—,1,000"
"1,194",—,"1,254",—,"11,000",—,"13,448"
Sales to third parties,Transfers,,,,,
664,530,,,,,
"1,248",6,,,,,
"10,536",,,,,,
"12,448","1,000",,,,,
"1,194","1,254",,,,,
"11,000",,,,,,
"13,448",,,,,,
Production costs excluding taxes,,,,,,
595,570,,,,,
6,,,,,,
555,,,,,,
"1,726",,,,,,
Exploration expenses,,,,,,
1,4,,,,,
5,,,,,,
Depreciation and depletion,,,,,,
379,231,,,,,
528,,,,,,
"1,138",,,,,,
Taxes other than income,,,,,,
33,75,,,,,
"3,634",,,,,,
"3,742",,,,,,
Related income tax,,,,,,
180,(1),,,,,
"2,275",,,,,,
"2,454",,,,,,
Results of producing activities for equity companies,,,,,,
186,194,,,,,
(5),,,,,,
"4,008",,,,,,
"4,383",,,,,,
Total results of operations,,,,,,
98,893,,,,,
"1,672",,,,,,
"1,179",,,,,,
"5,707",,,,,,
"1,391",,,,,,
"10,940",,,,,,
2018 - Revenue,,,,,,
"5,914","5,822",,,,,
"1,491","4,633",,,,,
"3,680","1,573",,,,,
"1,136","2,454",,,,,
"2,431","8,461",,,,,
"3,256",873,,,,,
"17,908","30,206",,,,,
"11,736","6,124",,,,,
"5,253",,,,,,
"9,980",,,,,,
"10,892",,,,,,
"4,129",,,,,,
"48,114",,,,,,
"3,915","4,211",,,,,
"1,348",,,,,,
"1,501",,,,,,
680,,,,,,
"14,109",,,,,,
237,434,,,,,
140,,,,,,
318,,,,,,
209,,,,,,
128,,,,,,
"1,466",,,,,,
"5,775","1,803",,,,,
665,,,,,,
"2,788",,,,,,
"2,088",,,,,,
809,,,,,,
"13,928",,,,,,
953,133,,,,,
799,,,,,,
"1,155",,,,,,
335,,,,,,
"3,503",,,,,,
250,(121),,,,,
"1,934",,,,,,
"1,766",,,,,,
622,,,,,,
"8,459",,,,,,
Production costs excluding taxes,"4,211","1,348","2,454","1,501",680,"14,109"
Exploration expenses,434,140,318,209,128,"1,466"
Depreciation and depletion,"1,803",665,"2,788","2,088",809,"13,928"
Taxes other than income,133,128,799,"1,155",335,"3,503"
Related income tax,(121),"1,934","1,766","4,008",622,"8,459"
Results of producing activities for consolidated subsidiaries,606,"1,038","1,855","1,931","1,555","6,649"
Sales to third parties,747,"1,420","12,028","14,195",,
Transfers,588,8,935,"1,531",,
Production costs excluding taxes,535,745,5,409,"1,694",
Exploration expenses,1,4,5,10,,
Depreciation and depletion,248,172,462,882,,
Taxes other than income,33,61,"4,104","4,198",,
Related income tax,271,(1),"2,726","2,996",,
Results of producing activities for equity companies,518,175,"5,257","5,946",,
Total results of operations,"1,124",(336),"1,213","1,851","7,188","1,555,12,595"
