2020,2019,2018,Net Productive Exploratory Wells Drilled,Consolidated Subsidiaries
United States,4,3,1,Canada/Other Americas
2,6,4,Europe,1
Africa,1,,Asia,
,,,Australia/Oceania,1
7,11,7,Total Consolidated Subsidiaries,
,,,Equity Companies,
United States,,,Europe,
Africa,,,Asia,
,,,Total Equity Companies,
7,11,7,Total productive exploratory wells drilled,
Net Dry Exploratory Wells Drilled,Consolidated Subsidiaries,,United States,
Canada/Other Americas,1,1,Europe,1
Africa,,,Asia,1
,,,Australia/Oceania,1
2,3,6,Total Consolidated Subsidiaries,
,,,Equity Companies,
United States,,,Europe,
Africa,,,Asia,
,,,Total Equity Companies,
2,3,6,Total dry exploratory wells drilled,
