,"Dec 31, 2020","Dec 31, 2019"
(millions of dollars),(millions of dollars),
Notes and accounts receivable,,
"Trade, less reserves of $96 million and $34 million","16,339","21,100"
"Other, less reserves of $378 million and $371 million","4,242","5,866"
Total,"20,581","26,966"
Notes and loans payable,,
Bank loans,222,316
Commercial paper,"17,306","18,561"
Long-term debt due within one year,"2,930","1,701"
Total,"20,458","20,578"
Accounts payable and accrued liabilities,,
Trade payables,"17,499",
Payables to equity companies,"6,476","24,694"
Accrued taxes other than income taxes,"3,408","6,825"
Other,,"3,301"
Total,"7,838","7,011"
,"35,221","41,831"
