Year-End 2020,Gross,Net,Year-End 2019,Gross,Net
Wells Drilling,,,,,
Consolidated Subsidiaries,,,,,
United States,"1,206",741,"1,133",704,
Canada/Other Americas,38,29,27,20,
Europe,13,6,16,7,
Africa,14,3,4,1,
Asia,14,4,46,14,
Australia/Oceania,,,14,4,
Total Consolidated Subsidiaries,"1,285",783,"1,240",750,
Wells Drilling,,,,,
Equity Companies,,,,,
United States,3,1,3,1,
Europe,1,1,,1,
Africa,6,1,6,1,
Asia,2,1,,6,1
Total Equity Companies,12,4,20,5,
Total gross and net wells drilling,"1,297",787,"1,260",755,
