Earnings after income tax,"1,739","12,340","2,962","3,048","1,642","1,709","(2,600)","20,840"
Upstream U.S. Upstream Non-U.S. Downstream U.S. Downstream Non-U.S. Chemical U.S. Chemical Non-U.S. Corporate and Financing Corporate Total,,,,,,,,
As of December 31,2020 Earnings (Loss) after income tax (19,385) (645) (852) (225) 1,277 686 (3,296) (22,440) Effect of asset impairments - noncash (17,138) (2,287) (15) (609) (100) (69) (35) (20,"253) Earnings of equity companies included above (559) 2,101 134 (190) (21) 651 (384) 1,732 Sales and other operating revenue 5,876 8,673 48,256 92,640 8,529 14,562 38 178,574 Intersegment revenue 8,508 19,642 12,258 15,162 6,099 3,881 221 — Depreciation and depletion expense 28,627 12,723 716 1,672 685 694 892 46,009 Interest revenue — — — — — — — 49 Interest expense 52 93 1 21 — — — 1,158 Income tax expense (benefit) (5,958) 742 (324) 393 440 272 (1,197) (5,632) Additions to property,plant and equipment 5,726 4,418 2,983 1,731 1,221 592 671 17,342 Investments in equity companies 4,792 18,135 352 879 2,543 3,514 (443) 29,772 Total assets 71,287 144,730 23,754 34,848 17,839 20,220 20,072 332,750"
As of December 31,2019 Earnings after income tax 536 13,906 1,717 606 206 386 (3,017) 14,340 Earnings of equity companies included above 282 4,534 196 19 (4) 818 (404) 5,441 Sales and other operating revenue 9,"364 13,779 70,523 134,460 9,723 17,693 41 255,583 Intersegment revenue 10,893 30,864 22,416 24,775 7,864 5,905 224 — Depreciation and depletion expense 6,162 9,305 674 832 555 621 849 18,998"
Earnings of equity companies included above,608,"5,816",156,(6),48,"1,113",(380),"7,355"
Sales and other operating revenue,"10,359","15,158","74,327","147,007","12,239","20,204",38,"279,332"
Intersegment revenue,"8,683","29,659","21,954","29,888","9,044","7,217",205,
Depreciation and depletion expense,"6,024","9,257",684,890,405,606,879,"18,745"
Interest revenue,,,,,,,,
Interest expense,77,31,2,12,,,,
Income tax expense (benefit),104,"8,149",946,"1,008",566,245,"(1,486)","9,532"
"Additions to property, plant and equipment","7,119","7,974","1,152","1,595","1,146",348,717,"20,051"
Investments in equity companies,"4,566","16,337",293,"1,162",870,"3,431",(277),"26,382"
Total assets,"90,310","148,914","17,898","34,024","14,904","21,131","19,015","346,196"
