Crude Oil,Natural Gas Liquids,Bitumen,Synthetic Oil,Natural Gas,Oil-Equivalent Total All Products
(million bbls),(million bbls),(million bbls),(million bbls),(billion cubic ft),(million bbls)
Proved Reserves,,,,,
Developed,,,,,
Consolidated Subsidiaries,,,,,
United States,"1,029",444,—,—,"10,375,3,202"
Canada/Other Americas (1),288,5,76,311,"472,759"
Europe,11,2,—,—,"399,79"
Africa,314,31,—,—,"318,398"
Asia,"2,215",84,—,—,"3,323,2,853"
Australia/Oceania,44,23,—,—,"3,344,624"
Total Consolidated,"3,901",589,76,311,"18,231,7,915"
Equity Companies,,,,,
United States,107,4,—,—,"83,125"
Europe,8,—,—,—,"293,57"
Africa,—,—,—,—,"—,—"
Asia,432,214,—,—,"8,992,2,144"
Total Equity Company,547,218,—,—,"9,368,2,326"
Total Developed,"4,448",807,76,311,"27,599,10,241"
Undeveloped,,,,,
Consolidated Subsidiaries,,,,,
United States,930,412,—,—,"3,064,1,853"
Canada/Other Americas (1),209,—,5,133,"89,362"
Europe,11,5,—,—,"42,23"
Africa,42,—,—,—,"2,42"
Asia,935,40,—,—,"986,1,139"
Australia/Oceania,30,8,—,—,"2,790,503"
Total Consolidated,"2,157",465,5,133,"6,973,3,922"
Equity Companies,,,,,
United States,24,—,—,—,"19,27"
Europe,1,—,—,—,"67,12"
Africa,6,—,—,—,"917,159"
Asia,393,59,—,—,"2,385,850"
Total Equity Company,424,59,—,—,"3,388,1,048"
Total Undeveloped,"2,581",524,5,133,"10,361,4,970"
Total Proved Reserves,"7,029","1,331",81,444,"37,960,15,211"
