"Costs Incurred in Property Acquisitions, Exploration and Development Activities","Costs Incurred in Property Acquisitions, Exploration and Development Activities",United States,Canada/ Other Americas,,,,,,
,,,Europe,,Africa (millions of dollars),Asia,Oceania,,Total
During 2020,During 2020,During 2020,During 2020,During 2020,During 2020,During 2020,During 2020,During 2020,
Consolidated Subsidiaries,,,,,344,,,,
Property acquisition costs -Proved,,1 80,30,,47,7,,382 130,
Exploration costs,-Unproved,60,3 702,40,232,110,83,"1,227",
Development costs,,"5,675","2,059",316,(239),974,730,"9,515",
Total costs incurred for consolidated subsidiaries,,"5,816","2,794",356,384,"1,091",813,"11,254",
Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,
Property acquisition costs -Proved,,,,,,,,,
,- Unproved,,,,,,,,
Exploration costs,,,,2,,,,2,
Development costs,,135,,20,71,"1,784",,2.010,
Total costs incurred for equity companies,,135,,22,71,"1,784",,"2,012",
During 2019,During 2019,During 2019,During 2019,During 2019,During 2019,During 2019,During 2019,During 2019,
Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,
Property acquisition costs - Proved,,12,,,,26,,38,
,,,105,1,20,,,352,
Exploration costs,- Unproved,226,"1,107",155,252,111,194,"1,953",
Development costs,,134,"2,946",,,"1,317",484,"16,897",
Total costs incurred for consolidated subsidiaries,,"10,275 10,647","4,158",809 965,"1,066 1,338","1,454",678,"19,240",
Equity Companies,,,,,,,,,
Property acquisition costs-Proved,- Unproved,,,,,,,,
Exploration costs,,1,,5,,,,6,
Development costs,,241,,15,69,"2,585",,"2,910",
Total costs incurred for equity companies,,242,,20,69,"2,585",,"2,916",
During 2018 Consolidated Subsidiaries,,,,,,,,,
Property acquisition costs -Proved,Property acquisition costs -Proved,Property acquisition costs -Proved,Property acquisition costs -Proved,Property acquisition costs -Proved,Property acquisition costs -Proved,Property acquisition costs -Proved,Property acquisition costs -Proved,Property acquisition costs -Proved,
,,7,3,,,321,,331,
,-Unproved,238,"2,109",,1,一,,"2,348",
Exploration costs,,235,"1,113",147,342,217,174,"2,228",
Development costs,,"7,440","1,734",96,791,"1,104",256,"11,421",
Total costs incurred for consolidated subsidiaries,,"7,920","4,959",243,"1,134","1,642",430,"16,328",
Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,
Property acquisition costs -Proved,,21,,,,,,21,
,- Unproved,一,,,,,,一,
Exploration costs,,1,,4,,5,,10,
Development costs,,442,,40,66,"2,452",,"3,000",
Total costs incurred for equity companies,,464,,44,66,"2,457",,"3,031",
