Standardized Measure of Discounted Future Cash Flows,United States,Canada/ Other Americas (1),Europe,Africa Asia,,Australia/ Oceania,Total
,(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars)
Consolidated Subsidiaries,,,,,,,
"As of December 31,2018",,,,,,,
Future cash inflows from sales of oil and gas,"265,527","204,596","23,263","47,557","241,410","67,041","849,394"
Future production costs,"96,489","125,469","5,023","16,019","61,674","18,081","322,755"
Future development costs,"54,457","29,759","7,351","8,356","13,907","8,047","121,877"
Future income tax expenses,"25,365","9,024","8,255","10,491","124,043","10,499","187,677"
Future net cash flows,"89,216","40,344","2,634","12,691","41,786","30,414","217,085"
Effect of discounting net cash flows at 10%,"49,176","22,315",6,"2,957","21,509","15,030","110,981"
Discounted future net cash flows,"40,040","18,029","2,640","9,734","20,277","15,384","106,104"
Equity Companies,,,,,,,
"As of December 31, 2018",,,,,,,
Future cash inflows from sales of oil and gas,"17,730",,"7,264","3,777","165,471",,"194,242"
Future production costs,"6,474",,"2,157",249,"61,331",,"70,211"
Future development costs,"3,359",,"1,165",370,"10,295",,"15,189"
Future income tax expenses,一,,"1,612",964,"30,662",,"33,238"
Future net cash flows,"7,897",,"2,330","2,194","63,183",,"75,604"
Effect of discounting net cash flows at 10%,"4,104",,713,"1,712","31,503",,"38,032"
Discounted future net cash flows,"3,793",,"1,617",482,"31,680",,"37,572"
Total consolidated and equity interests in,,,,,,,
standardized measure of discounted future net cash flows,"43,833","18,029","4,257","10,216","51,957",,
