,Earnings (Loss) After Income Taxes,Earnings (Loss) After Income Taxes,Average Capital Employed,Average Capital Employed,Return on Average Capital Employed,Return on Average Capital Employed,Capital and Exploration Expenditures,Capital and Exploration Expenditures
Financial,2020,2019,2020,2019,2020,2019,2020,2019
,(millions ofdollars),(millions ofdollars),(millions ofdollars),(millions ofdollars),(millions ofdollars),(millions ofdollars),(millions of dollars),(millions of dollars)
Upstream,,,,,,,,
United States,"(19,385)",536,"65,780","72,152",(29.5),0.7,"6,817","11,653"
Non-U.S.,(645),"13,906","107,506","107,271",(0.6),13.0,"7,614","11,832"
Total,"(20,030)","14,442","173,286","179,423",(11.6),8.0,"14,431","23,485"
Downstream,,,,,,,,
United States,(852),"1,717","11,472","9,515",(7.4),18.0,"2,344","2,353"
Non-U.S.,(225),606,"18,682","18,518",(1.2),3.3,"1,877","2,018"
Total,"(1,077)","2,323","30,154","28,033",(3.6),8.3,"4,221","4,371"
Chemical,,,,,,,,
United States,"1,277",206,"14,436","13,196",8.8,1.6,"2,002","2,547"
Non-U.S.,686,386,"17,600","18,113",3.9,2.1,714,718
Total,"1,963",592,"32,036","31,309",6.1,1.9,"2,716","3,265"
Corporate and financing,"(3,296)","(3,017)","(1,445)","(2,162)",丨,丨,6,27
Total,"(22,440)","14,340","234,031","236,603",(9.3),6.5,"21,374","31,148"
