FUNCTIONAL EARNINGS,2020,2019,2018
,"(millons of dollars,except per share amounts)","(millons of dollars,except per share amounts)","(millons of dollars,except per share amounts)"
Earnings (Loss) (U.S. GAAP),,,
Upstream,,,
United States,"(19,385)",536,"1,739"
Non-U.S.,(645),"13,906","12,340"
Downstream,,,
United States,(852),"1,717","2,962"
Non-U.S.,(225),606,"3,048"
Chemical,,,
United States,"1,277",206,"1,642"
Non-U.S.,686,386,"1,709"
Corporate and financing,"(3,296)","(3,017)","(2,600)"
Net income (loss) attributable to ExxonMobil (U.S. GAAP),"(22,440)","14,340","20,840"
Earnings (Loss) per common share,(5.25),3.36,4.88
Earnings (Loss) per common share - assuming dilution,(5.25),3.36,4.88
