Region,Country,Units,ExxonMobil Share KBD (2),ExxonMobil Interest%
Total United States,,"1,764",,
United States,Illinois,254,Joliet,100
United States,Louisiana,520,Baton Rouge,100
United States,Montana,60,Billings,100
United States,Texas,561,Baytown,100
United States,Texas,369,Beaumont,100
Canada,,,,
Canada,Alberta,196,Strathcona,69.6
Canada,Ontario,113,Nanticoke,69.6
Canada,Ontario,119,Sarnia,69.6
Total Canada,,428,,
Europe,,,,
Europe,Belgium,307,Antwerp,100
Europe,France,133,Fos-sur-Mer,82.9
Europe,France,244,Gravenchon,82.9
Europe,Germany,,,
Europe,Italy,78,Trecate,25
Europe,Netherlands,132,,75.2
Europe,,,,192
Europe,Norway,116,Slagen,100
Europe,United Kingdom,262,Fawley Total Europe,100
Total Europe,,,,"1,464"
Asia Pacific,,,,
Asia Pacific,Australia,88,Altona (3),100
Asia Pacific,China,67,Fujian,25
Asia Pacific,Singapore,592,Jurong/PAC,100
Asia Pacific,Thailand,167,Sriracha,66
Total Asia Pacific,,,,914
Middle East,,,,
Middle East,Saudi Arabia,200,Yanbu,50
Total Worldwide,,,,"4,770"
