,Note Reference Number,,,
,Note Reference Number,2020,2019,2018
,,(millions of dollars),(millions of dollars),(millions of dollars)
Revenues and other income,,,,
Sales and other operating revenue,7,"178,574","255,583","279,332"
Income from equity afiliates,,"1,732","5,441","7,355"
Other income,,"1,196","3,914","3,525"
Total revenues and other income,,"181,502","264,938","290,212"
Costs and other deductions,,,,
Crude oil and product purchases,,"94,007","143,801","156,172"
Production and manufacturing expenses,,"30,431","36,826","36,682"
"Selling, general and administrative expenses","3,9","10,168","11,398","11,480"
Depreciation and depletion (includes impairments),,"46,009","18,998","18,745"
"Exploration expenses, including dry holes",17,"1,285","1,269","1,466"
Non-service pension and postretirement benefit expense,,"1,205","1,235","1,285"
Interest expense,19,"1,158",830,766
Other taxes and duties,,"26,122","30,525","32,663"
Total costs and other deductions,,"210,385","244,882","259,259"
Income (Loss) before income taxes,,"(28,883)","20,056","30,953"
Income tax expense (benefit),19,"(5,632)","5,282","9,532"
Net income (loss) including noncontrolling interests,,"(23,251)","14,774","21,421"
Net income (loss) attributable to noncontrolling interests,,(811),434,581
Net income (loss) attributable to ExxonMobil,,"(22,440)","14,340","20,840"
Earnings (Loss) per common share (dollars),12,,,
,12,(5.25),3.36,4.88
