,Crude Oil,Natural Gas Liquids,Bitumen,Synthetic Oil,Natural Gas,Equivalent Total All Products
,(million bbls),(million bbls),(million bbls),(million bbls),(billion cubic ft),(million bbls)
Proved Reserves,,,,,,
Developed,,,,,,
Consolidated Subsidiaries,,,,,,
United States,"1,029",444,,,"10,375","3,202"
Canada/Other Americas (l),288,5,76,311,472,759
Europe,11,2,一,,399,79
Africa,314,31,,,318,398
Asia,"2,215",84,,,"3,323","2,853"
Australia/Oceania,44,23,76,,"3,344",624
Total Consolidated,"3,901",589,,311,"18,231","7,915"
Equity Companies,,,,,,
United States,107,4,,,83,125
Europe,8,,,,293,57
Africa Asia,丨,丨,,,丨,1
Total Equity Company,432,214,,,"8,992","2,144"
Total Developed,"547 4,448",218 807,76,311,"9,368","2,326"
,,,,,"27,599","10,241"
Undeveloped Consolidated Subsidiaries,,,,,,
United States,930,412,,,,
Canada/Other Americas (l),209,,5,133,"3,064 89","1,853"
Europe,11,一 5,,,42,362
Africa,42,一,,一,,23
Asia,935,40,,,2,42
Australia/Oceania,30,8,,,986,"1,139"
Total Consolidated,"2,157",465,5,133,"2,790",503
,,,,,"6,973","3,922"
Equity Companies United States,24,,,,19,27
Europe,1,,,,67,12
Africa,6,,,,917,159
Asia,,,,,,
Total Equity Company,393,59,,,"2,385",850
Total Undeveloped,"424 2,581",59 524,5,133,"3,388","1,048"
Total Proved Reserves,"7,029","1,331",81,444,"10,361 37,960","4,970 15,211"
