Results of Operations,United States,Canada/ Other Americas,Europe,Africa,Asia,Australia/ Oceania,Total,,
Consolidated Subsidiaries,(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars)
2020 - Revenue,,,,,,,,,
Sales to third parties,2.933,"1,034",536,262,"1,632",,"1,983","8,380",
Transfers,"4,943","3,938",362,"4,603",,"5,584",509,"19,939",
,"7,876","4,972",898,"4,865",,"7,216","2,492","28,319",
Production costs excluding taxes,3.877,"3,928",786,"1,911",,"1,471",483,"12,456",
Exploration expenses,51,573,33,371,,,,"1,285",
,,"5,118",,,,112,145,,
Depreciation and depletion,"27,489",,828,"2,788",,"2,171",733,"39,127",
Taxes other than income Related income tax,615,106,32,,390,692,152,"1,987",
Results of producing activities for consolidated,"(5,650)",(944),(343),,(258),"2,130",241,"(4,824)",
subsidiaries,"(18,506)","(3,809)",(438),,(337),640,738,"(21,712)",
Equity Companies,,,,,,,,,
2020 - Revenue,,,,,,,,,
Sales to third parties,410,,513,,,"6,289",,"7,212",
Transfers,308,,12,,,60,,380,
,718,,525,,,"6,349",,"7,592",
Production costs excluding taxes,545,,674,,6,421,,"1,646",
Exploration expenses,一,,2,,,丨,,2,
Depreciation and depletion,560,,224,,,543,,"1,327",
Taxes other than income,34,,22,,,"2,274",,"2,330",
Related income tax,,,(246),,(1),"1,126",,879,
Results of producing activities for equity companies,(421),,(151),,(5),"1,985",,"1,408",
Total results of operations,"(18,927)","(3,809)",(589),(342),,"2,625",738,"(20,304)",
