Return on average capital employed,2020,2019,2018
,(millions of dollars),(millions of dollars),(millions of dollars)
Net income (loss) attributable to ExxonMobil,"(22,440)","14,340","20,840"
Financing costs (after tax),,,
Gross third-party debt,"(1,272)","(1,075)",(912)
ExxonMobil share of equity companies All other financing costs - net,(182),(207),(192)
Total financing costs,666,141,498
Earnings (Loss) excluding financing costs,(788),"(1,141)",(606)
,"(21,652)","15,481","21,446"
Average capital employed,"234,031","236,603","232,374"
Return on average capital employed - corporate total,(9.3)%,6.5 %,9.2 %
