United States,Canada/Other Americas,Europe,Africa,Asia,Australia/Oceania,Total
Consolidated Subsidiaries,,,,,,
Property acquisition costs – Proved,1,30,–,344,7,"–,382"
Property acquisition costs – Unproved,80,3,–,47,–,"–,130"
Exploration costs,60,702,40,232,110,"83,1,227"
Development costs,"5,675","2,059",316,(239),974,"730,9,515"
Total costs incurred for consolidated subsidiaries,"5,816","2,794",356,384,"1,091","813,11,254"
Equity Companies,,,,,,
Property acquisition costs – Proved,–,–,–,–,–,"–,–"
Property acquisition costs – Unproved,–,–,–,–,–,"–,–"
Exploration costs,–,–,2,–,–,"–,2"
Development costs,135,–,20,71,"1,784","–,2,010"
Total costs incurred for equity companies,135,–,22,71,"1,784","–,2,012"
Consolidated Subsidiaries,,,,,,
Property acquisition costs – Proved,12,–,–,–,26,"–,38"
Property acquisition costs – Unproved,226,105,1,20,–,"–,352"
Exploration costs,134,"1,107",155,252,111,"194,1,953"
Development costs,"10,275","2,946",809,"1,066","1,317","484,16,897"
Total costs incurred for consolidated subsidiaries,"10,647","4,158",965,"1,338","1,454","678,19,240"
Equity Companies,,,,,,
Property acquisition costs – Proved,–,–,–,–,–,"–,–"
Property acquisition costs – Unproved,–,–,–,–,–,"–,–"
Exploration costs,1,–,5,–,–,"–,6"
Development costs,241,–,15,69,"2,585","–,2,910"
Total costs incurred for equity companies,242,–,20,69,"2,585","–,2,916"
Consolidated Subsidiaries,,,,,,
Property acquisition costs – Proved,7,3,–,–,321,"–,331"
Property acquisition costs – Unproved,238,"2,109",–,1,–,"–,2,348"
Exploration costs,235,"1,113",147,342,217,"174,2,228"
Development costs,"7,440","1,734",96,791,"1,104","256,11,421"
Total costs incurred for consolidated subsidiaries,"7,920","4,959",243,"1,134","1,642","430,16,328"
Equity Companies,,,,,,
Property acquisition costs – Proved,21,–,–,–,–,"–,21"
Property acquisition costs – Unproved,–,–,–,–,–,"–,–"
Exploration costs,1,–,4,–,5,"–,10"
Development costs,442,–,40,66,"2,452","–,3,000"
Total costs incurred for equity companies,464,–,44,66,"2,457","–,3,031"
