Operating,2020,2019,,thousands of barrels daily
Net liquids production,,,Refinery throughput,
United States,685,646,United States,"1,549"
Non-U.S.,"1,664","1,740",Non-U.S.,"2,224"
Total,"2,349","2,386",Total,"3,773"
Natural gas production available for sale,,,Petroleum product sales (2),
United States,"2,691","2,778",United States,"2,154"
Non-U.S.,"5,780","6,616",Non-U.S.,"2,741"
Total,"8,471","9,394",Total,"4,895"
Oil-equivalent production (1),"3,761","3,952",,
Chemical prime product sales (2) (3),,,,
United States,"9,010","9,127",,
Non-U.S.,"16,439","17,389",,
Total,"25,449","26,516",,
