,2020 Weighted Average,2020 Weighted Average
Restricted stock and units outstanding,Shares,Grant-Date Fair Value per Share
,(thousands),(dollars)
Issued and outstanding at January 1,"39,628",84.50
Awards issued in 2020,"9,030",68.95
Vested,"(8,990)",86.84
Forfeited,(83),82.04
Issued and outstanding at December 31,"39,585",80.43
Value of restricted stock units,,2018
Grant price (dollars),2020 41.15,2019 68.77
,,77.66
Value at date of grant: Units settled in stock,,(millions of dollars) 559
,325,620 55
Units settled in cash,32,61
Total value,357,614 681
