,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
,United,Canada/ Other,,,,,Oil-Equivalent Total
,States,Americas Europe,Africa,Asia,Australia/ Oceania,,Total All Products (1)
,,,,(billions of cubic feet),,,(millions ofoil- equivalent barrels)
Net proved developed and undeveloped reserves of consolidated subsidiaries,,,,,,,
"January 1, 2020","19,026","1,466",621,"377 4,433","7,001","32,924","18,596"
Revisions,"(4,904)",(753),(4),(23),245 (405),"(5,844)","(6,088)"
Improved recovery,,,,,,,
Purchases,,,,,,,
Sales,(35),(30),,,,(65),(17)
Extensions/discoveries,433,1,1,,,435,459
Production,"(1,081)",(123),(177),(34) (369),(462),"(2,246)","(1,113)"
"December 31,2020","13,439",561,441,"320 4,309","6,134","25,204","11,837"
Attributable to noncontrolling interests,,84,,,,,
Proportional interest in proved reserves of equity companies,,,,,,,
"January 1,2020",213,,581,908,"12,454","14,156","3,849"
Revisions,(99),,(95),9,(106),(291),(172)
Improved recovery,,,,,,,
Purchases,,,,,,,
Sales Extensions/discoveries,,,,,,,
Production,(12),,(126),,(971),"(1,109)",(303)
"December 31,2020",102,,360,917,"11,377",,
"Total proved reserves at December 31,2020","13,541",561,801,"1,237","15,686","12,756 6,134 37,960","3,374 15,211"
