,2020,2019,2018
,(millions of dollars),(millions of dollars),(millions of dollars)
Net income (loss) including noncontrolling interests,"(23,251)","14,774","21,421"
Other comprehensive income (loss) (net of income taxes),,,
Foreign exchange translation adjustment Adjustment for foreign exchange translation (gain)/loss included in net income,"1,916 14","1,735 丨","(5,077) 196"
Postretirement benefits reserves adjustment (excluding amortization),30,"(2,092)",280
Amortization and settlement of postretirement benefits reserves adjustment included,,,
in net periodic benefit costs Total other comprehensive income (loss),896,582,931
Comprehensive income (loss) including noncontrolling interests,"2,856",225,"(3,670)"
Comprehensive income (loss) attributable to noncontrolling interests,"(20,395)","14,999","17,751"
,(743),588,174
Comprehensive income (loss) attributable to ExxonMobil,"(19,652)","14,411","17,577"
