Country/Project\tDec. 31,\t2020\tYears Wells Drilled /\tAcquired\tComment
(millions of dollars),
Angola\tKaombo Split Hub Phase 2\t10\t2006\tEvaluating development plan to tie into planned production facilities.,
Argentina\tLa Invernada\t72\t2014\tEvaluating development plan to tie into planned infrastructure.,
Australia\tGorgon Area Ullage\t347\t1994 - 2015\tEvaluating development plans to tie into existing LNG facilities.,
Brazil\tBacalhau Phase 1\t284\t2018\tContinuing discussions with the government regarding development plan.,
Canada\tHibernia North\t26\t2019\tAwaiting capacity in existing/planned infrastructure.,
Iraq\tKurdistan Pirmam\t109\t2015\tEvaluating commercialization alternatives, while waiting for government approval to enter Gas Holding Period.
Kazakhstan\tKairan\t53\t2004 - 2007\tEvaluating commercialization and field development alternatives, while continuing discussions with the government regarding the development plan.
Mozambique\tRovuma LNG Future Non-Straddling Train\t120\t2017\tEvaluating/progressing development plan to tie into planned LNG facilities.,
\tRovuma LNG Phase 1\t150\t2017\tProgressing development plan to tie into planned LNG facilities.,
\tRovuma LNG Unitized Trains\t35\t2017\tEvaluating/progressing development plan to tie into planned LNG facilities.,
Nigeria\tBonga North\t34\t2004 - 2009\tEvaluating/progressing development plan for tieback to existing/planned infrastructure.,
\tBonga SW\t3\t2001\tEvaluating/progressing development plan for tieback to existing/planned infrastructure.,
\tBosi\t79\t2002 - 2006\tDevelopment activity under way, while continuing discussions with the government regarding development plan.
\tOwowo\t67\t2009 - 2016\tEvaluating development plan for tieback to existing production facilities.,
\tPegi\t32\t2009\tAwaiting capacity in existing/planned infrastructure.,
\tUkot SW\t41\t2014\tEvaluating development plan for tieback to existing production facilities.,
Papua New Guinea\tPapua LNG\t246\t2017\tEvaluating/progressing development plans.,
\tP'nyang\t116\t2012 - 2018\tEvaluating/progressing development plans.,
Romania\tNeptun Deep\t536\t2012 - 2016\tContinuing discussions with the government regarding development plan.,
Tanzania\tTanzania Block 2\t525\t2012 - 2015\tEvaluating development alternatives, while continuing discussions with the government regarding development plan.
Vietnam\tBlue Whale\t296\t2011 - 2015\tEvaluating/progressing development plans.,
Total 2020 (21 projects)\t\t3,181\t\t\t
