,2020,2019,2018
Net Productive Exploratory Wells Drilled,,,
Consolidated Subsidiaries,,,
United States,4,3,1
Canada/Other Americas,2,6,4
Europe,一,1,
Africa,1,,1
Asia,,,
Australia/Oceania,,1,1
Total Consolidated Subsidiaries,7,11,7
Equity Companies,,,
United States,,,
Europe,,,
Africa,,,
Asia,,,
Total Equity Companies,,,
Total productive exploratory wells drilled,7,11,7
Net Dry Exploratory Wells Drilled,,,
Consolidated Subsidiaries,,,
United States,,,3
Canada/Other Americas,,1,
Europe,,1,
Africa,,,1
Asia,1,,
Australia/Oceania,,,
Total Consolidated Subsidiaries,2,1 3,2 6
Equity Companies United States,,,
Europe,,,
Africa,,,
Asia,,,
Total Equity Companies,,,
Total dry exploratory wells drilled,2,3,6
Net Productive Development Wells Drilled,,,
Consolidated Subsidiaries,,,
United States,412,618,389
Canada/Other Americas,36,49,32
Europe,2,3,3
Africa,2,4,1
Asia,15,12,14
Australia/Oceania,4,1,二
Total Consolidated Subsidiaries,471,686,439
Equity Companies,,,
United States,60,199,168
Europe,1,,3
Africa,,1 一,
Asia,一 5,9,6
Total Equity Companies,66,208,177
Total productive development wells drilled,537,894,616
Net Dry Development Wells Drilled,,,
Consolidated Subsidiaries,,,
United States,6,8,4
Canada/Other Americas,,,1
Europe,,,
Africa,,1,1
Asia,,,
Australia/Oceania,1,,
Total Consolidated Subsidiaries,7,9,6
Equity Companies,,,
United States,,,
Europe,,,
Africa,,,
Asia,,,
Total Equity Companies,一,一,
Total dry development wells drilled,7,9,6
Total number of net wells drilled,553,917,635
