,2020,2019,2018
(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars)
Net income (loss) including noncontrolling interests,-23251,14774,21421
Other comprehensive income (loss) (net of income taxes),,,
Foreign exchange translation adjustment,1916,1735,-5077
Adjustment for foreign exchange translation (gain)/loss included in net income,14,-,196
Postretirement benefits reserves adjustment (excluding amortization),30,-2092,280
Amortization and settlement of postretirement benefits reserves adjustment included in net periodic benefit costs,896,582,931
Total other comprehensive income (loss),2856,225,-3670
Comprehensive income (loss) including noncontrolling interests,-20395,14999,17751
Comprehensive income (loss) attributable to noncontrolling interests,-743,588,174
Comprehensive income (loss) attributable to ExxonMobil,-19652,14411,17577
