,Year-End 2020,Year-End 2020,Year-End 2019,Year-End 2019
,Gross,Net,Gross,Net
Wells Drilling,,,,
Consolidated Subsidiaries,,,,
United States,"1,206",741,"1,133",704
Canada/Other Americas,38,29,27,20
Europe,13,6,16,7
Africa,14,3,4,1
Asia,14,4,46,14
Australia/Oceania,一,二,14,4
Total Consolidated Subsidiaries,"1,285",783,"1,240",750
Equity Companies United States,3,1,3,
Europe,1,1,,1
Africa,6,1,1,
Asia,,,6,1
,2,1,11,3
Total Equity Companies Total gross and net wells drilling,"12 1,297",4 787,"20 1,260",5 755
