Capital employed,2020,2019,2018
,(millions of dollars),(millions of dollars),(millions of dollars)
Business uses: asset and liability perspective,,,
Total assets,"332,750","362,597","346,196"
Less liabilities and noncontrolling interests share of assets and liabilities,,,
Total current liabilities excluding notes and loans payable,"(35,905)","(43,411)","(39,880)"
Total long-term liabilities excluding long-term debt,"(65,075)","(73,328)","(69,992)"
Noncontrolling interests share of assets and liabilities,"(8,773)","(8,839)","(7,958)"
Add ExxonMobil share of debt-financed equity company net assets,"4,140","3,906","3,914"
Total capital employed,"227,137","240,925","232,280"
Total corporate sources: debt and equity perspective,,,
Notes and loans payable,"20,458","20,578","17,258"
,"47,182","26,342",
Long-term debt ExxonMobil share of equity,"157,150","191,650","20,538"
Less noncontrolling interests share of total debt,,"(1,551)","191,794"
Add ExxonMobil share of equity company debt,"(1,793) 4,140","3,906","(1,224) 3,914"
Total capital employed,"227,137","240,925","232,280"
