,Year-End 2020,Year-End 2020,Year-End 2019,Year-End 2019
,Gross,Net,Gross,Net
,(thousands of acres),(thousands of acres),(thousands of acres),(thousands of acres)
Gross and Net Undeveloped Acreage,,,,
Consolidated Subsidiaries,,,,
United States,"6,969","2,967","7,123","3,146"
Canada/Other Americas (l),"37,833","18,985","36,509","17,950"
Europe,"14,802","6,018","18,212","7,619"
Africa,"35,956","24,558","56,049","32,449"
Asia,888,280,"6,880","2,911"
Australia/Oceania,"12,971","6,265","14,773","7,689"
Total Consolidated Subsidiaries,"109,419","59,073","139,546","71,764"
Equity Companies,,,,
United States,160,64,189,73
Europe,765,214,366,105
Africa,596,149,596,149
Asia,1,丨,73,5
Total Equity Companies,"1,521",427,"1,224",332
Total gross and net undeveloped acreage,"110,940","59,500","140,770","72,096"
