,PensionBenefits,PensionBenefits,PensionBenefits,PensionBenefits,PensionBenefits,PensionBenefits,Other Postretirement Benefits,,
,,U.s.,,,Non-U.S.,,Other Postretirement Benefits,,
Weighted-average assumptions used to determine net,2020,2019,2018,2020,2019,2018,2020,2019,2018
periodic benefit cost for years ended December 31,,,,,(percent),,,,
Discount rate,3.50,4.40,3.80,2.30,3.00,2.80,3.50,4.40,3.80
Long-term rate of return on funded assets,5.30,5.30,6.00,4.10,4.10,4.70,4.60,4.60,6.00
Long-term rate of compensation increase,5.75,5.75,5.75,4.80,4.30,4.30,5.75,5.75,5.75
Components of net periodic benefit cost,,,,(millions of dollars),,,,,
Service cost,965,757,819,707,551,608,181,139,152
Interest cost,708,766,721,657,763,754,277,315,301
Expected return on plan assets,(703),(568),(727),(897),(777),(951),(18),(15),(23)
Amortization of actuarial loss/(gain),310,305,362,416,306,409,95,55,116
Amortization of prior service cost Net pension enhancement and curtailment/,5,5,5,68,56,46,(42),(42),(40)
settlement cost,280,164,268,49,(98),44,,,
Net periodic benefit cost,"1,565","1,429","1,448","1,000",801,910,493,452,506
Changes in amounts recorded in accumulated other comprehensive income:,,,,,,,,,
Net actuarial loss/(gain),(279),609,479,446,"1,268",(66),(92),517,(594)
Amortization of actuarial (loss)/gain,(590),(469),(630),(442),(208),(453),(95),(55),(116)
Prior service cost/(credit),(271),丨,丨,(82),379,98,一,,一
Amortization of prior service (cost)/credit,(5),(5),(5),(68),(56),(46),42,42,40
Foreign exchange rate changes,,一,一,236,19,(356),11,丨,（8
Total recorded in other comprehensive income Total recorded in net periodic benefit cost and other,"(1,145)",135,(156),90,"1,402",(823）,(134),504,(678)
"comprehensive income, before tax",420,"1,564","1,292","1,090","2,203",87,359,956,(172)
