"December 31,","December 31,","December 31,"
Long-lived assets,2020 (millions of dollars),2019 2018
United States,,"114,372 108,147"
Non-U.S.,"94,732 132,821","138,646"
,,"138,954 247,101"
Total,"227,553","253,018"
Significant non-U.S. long-lived assets include:,,
Canada,"36,232","39,130 37,433"
Australia,"14,792","13,933 14,548"
Singapore,"12,129","11,645"
Kazakhstan,"8,882","11,148 9,315 9,726"
Papua New Guinea,"7,803","8,057 8,269"
Nigeria,"6,345","7,640"
United Arab Emirates,"5,381","8,421"
Russia,"4,616","5,262 4,859"
Angola,"4,405","5,135 5,456 5,784 7,021"
