Year-End 2020,Gross,Net,Year-End 2019,Gross,Net
Wells Drilling,Consolidated Subsidiaries,United States,1206,741,"1133,704,"
Wells Drilling,Consolidated Subsidiaries,Canada/Other Americas,38,29,"27,20,"
Wells Drilling,Consolidated Subsidiaries,Europe,13,6,"16,7,"
Wells Drilling,Consolidated Subsidiaries,Africa,14,3,"4,1,"
Wells Drilling,Consolidated Subsidiaries,Asia,14,4,"46,14,"
Wells Drilling,Consolidated Subsidiaries,Australia/Oceania,,-,"14,4,"
Wells Drilling,Consolidated Subsidiaries,Total Consolidated Subsidiaries,1285,783,"1240,750,"
Wells Drilling,Equity Companies,United States,3,1,"3,1,"
Wells Drilling,Equity Companies,Europe,1,1,",-,"
Wells Drilling,Equity Companies,Africa,6,1,"6,1,"
Wells Drilling,Equity Companies,Asia,2,1,"11,3,"
Wells Drilling,Equity Companies,Total Equity Companies,12,4,"20,5,"
Wells Drilling,Total gross and net wells drilling,1297,787,1260,"755,"
