Consolidated and Equity Interests,2019,2019,2019
Consolidated and Equity Interests,Consolidated Subsidiaries,Share of Equity Method Investees,Total Consolidated and Equity Interests
"Discounted future net cash flows as of December 31,2018",,(millions of dollars),"143,676"
"Value of reserves added during the year due to extensions, discoveries,","106,104","37,572",
improved recovery and net purchases/sales less related costs Changes in value of previous-year reserves due to:,"(1,252)",4,"(1,248)"
"Sales and transfers of oil and gas produced during the year, net of production (lifting) costs","(29,159)","(8,202)","(37,361)"
Development costs incurred during the year,"16,544","2,927","19,471"
"Net change in prices, lifting and development costs","(66,455)","(21,046)","(87,501)"
Revisions of previous reserves estimates,"4,906",657,"5,563"
Accretion of discount,"11,433","3,956","15,389"
Net change in income taxes,"25,379","6,548","31,927"
Total change in the standardized measure during the year,"(38,604)","(15,156)","(53,760)"
"Discounted future net cash flows as of December 31,2019","67,500","22,416","89,916"
