,,ExxonMobil Share KBD (2),ExxonMobil Interest%
United States,United States,,
Joliet,Illinois,254,100
Baton Rouge,Louisiana,520,100
Billings,Montana,60,100
Baytown,Texas,561,100
Beaumont,Texas,369,100
Total United States,,"1,764",
Canada,,,
Strathcona,Alberta,196,69.6
Nanticoke,Ontario,113,69.6
Sarnia,Ontario,119,69.6
Total Canada,,428,
Europe,,,
Antwerp,Belgium,307,100
Fos-sur-Mer,France,133,82.9
Gravenchon,France,244,82.9
Karlsruhe,Germany,,
Trecate,Italy,78,25
Rotterdam,Netherlands,132,75.2
,,192,100
Slagen,Norway,116,100
Fawley Total Europe,United Kingdom,262,100
,,"1,464",
Asia Pacific,,,
Altona (3),Australia,88,100
Fujian,China,67,25
Jurong/PAC,Singapore,592,100
Sriracha,Thailand,167,66
Total Asia Pacific,,914,
Middle East,,,
Yanbu,Saudi Arabia,200,50
TotalWorldwide,,,
,,"4,770",
