ExxonMobil Share of Accumulated Other,Cumulative Foreign Exchange Translation Adjustment,Postretirement Benefits Reserves Adjustment,Total
Comprehensive Income,,(millions of dollars),
"Balance as of December 31,2017 Current period change excluding amounts reclassified from accumulated other","(9,482)","(6,780)","(16,262)"
comprehensive income,"(4,595)",201,"(4,394)"
Amounts reclassified from accumulated other comprehensive income,196,896,"1,092"
Total change in accumulated other comprehensive income,"(4,399)","1,097","(3,302)"
"Balance as of December 31, 2018","(13,881)","(5,683)","(19,564)"
Current period change excluding amounts reclassified from accumulated other comprehensive income,,,
Amounts reclassified from accumulated other comprehensive income,"1,435","(1,927) 563",(492) 563
Total change in accumulated other comprehensive income,"一 1,435","(1,364)",71
"Balance as of December 31, 2019","(12,446)","(7,047)","(19,493)"
Current period change excluding amounts reclassified from accumulated other comprehensive income(1),,,
Amounts reclassified from accumulated other comprehensive income,"1,818 14",95 861,"1,913 875"
Total change in accumulated other comprehensive income,"1,832",956,"2,788"
"Balance as of December 31,2020","(10,614)","(6,091)","(16,705)"
