,U.S.Pension,U.S.Pension,U.S.Pension,U.S.Pension,Non-U.S.Pension,Non-U.S.Pension,Non-U.S.Pension,Non-U.S.Pension,Non-U.S.Pension,Non-U.S.Pension
,,"Fair Value Measurement at December31,2019,Using:","Fair Value Measurement at December31,2019,Using:","Fair Value Measurement at December31,2019,Using:","Fair Value Measurement at December31,2019,Using:","Fair Value Measurement at December31,2019,Using:","Fair Value Measurement at December31,2019,Using:","Fair Value Measurement at December31,2019,Using:","Fair Value Measurement at December31,2019,Using:","Fair Value Measurement at December31,2019,Using:"
,Level 1,Level 2,Level 3,Net Asset Value,Total,Level 1,Level 2,Level 3,Net Asset Value,Total
Asset category:,,,,,(millions of dollars),,,,,
Equity securities,,,,,,,,,,
U.S.,,,,"1,960","1,960",,,,"3,436","3,436"
Non-U.S.,,,,"1,656","1,656",70 (),,,"3,015","3,085"
Private equity,,,,499,499,,,,489,489
Debt securities,,,,,,,,,,
Corporate,,"4,932 (2)",,1,"4,933",,129 (2),,"4,486","4,615"
Government,,"4,470 (2)",,2,"4,472",280 (3）,139 (2),,"10,511","10,930"
Asset-backed,,,,1,1,,21 (2),,212,233
Cash,,,,107,107,33,12 (4),,61,106
Total at fair value,,"9,402",,"4,226","13,628",383,301,,"22,210","22,894"
Insurance contracts at,,,,,8,,,,,22
contract value Total plan assets,,,,,"13,636",,,,,"22,916"
