"Average production costs, per oil-equivalent barrel - total",10.66,18.40,24.76,16.73,3.91,5.35,10.24
United States\tCanada/Other Americas\tEurope\tAfrica\tAsia\tAustralia/Oceania\tTotal,,,,,,,
Consolidated Subsidiaries\t\t\t\t\t\t,,,,,,,
Average production prices\t\t\t\t\t\t,,,,,,,
Crude oil,per barrel\t34.97\t37.26\t41.39\t42.27\t39.39\t36.67\t38.31,,,,,,
NGL,per barrel\t13.83\t10.34\t20.11\t21.32\t21.37\t27.92\t16.05,,,,,,
Natural gas,per thousand cubic feet\t0.98\t1.56\t3.13\t1.24\t1.49\t4.34\t2.01,,,,,,
Bitumen,per barrel\t\t17.71\t\t\t\t17.71,,,,,,
Synthetic oil,per barrel\t\t\t\t37.32\t\t37.32,,,,,,
Average production costs,per oil-equivalent barrel - total\t9.82\t18.40\t21.22\t16.67\t6.50\t5.35\t11.57,,,,,,
Average production costs,per barrel - bitumen\t\t19.22\t\t\t\t19.22,,,,,,
Average production costs,per barrel - synthetic oil\t\t\t\t33.61\t\t33.61,,,,,,
Equity Companies\t\t\t\t\t\t,,,,,,,
Crude oil,per barrel\t39.19\t38.95\t35.18\t\t\t35.07,,,,,,
"Average production costs, per barrel - synthetic oil",33.61,33.61,,,,,
Equity Companies,,,,,,,
Average production prices,,,,,,,
"Crude oil, per barrel",39.10,"38.95,35.18,35.97",,,,,
"NGL, per barrel",11.05,"30.02,29.58",,,,,
"Natural gas, per thousand cubic feet",1.19,"3.85,3.14,3.20",,,,,
"Average production costs, per oil-equivalent barrel - total",27.39,"30.74,1.63,5.49",,,,,
Total,,,,,,,
"Crude oil, per barrel",35.35,"37.26,41.11,42.27,38.07,36.67,37.95",,,,,
"NGL, per barrel",13.80,"10.34,20.11,21.32,27.65,27.92,19.16",,,,,
"Natural gas, per thousand cubic feet",0.98,"1.56,3.44,1.24,2.72,4.34,2.43",,,,,
"Bitumen, per barrel",17.71,,,,,,
"Synthetic oil, per barrel",37.32,,,,,,
"Average production costs, per oil-equivalent barrel - total",10.66,"18.40,24.76,16.73,3.91,5.35,10.24",,,,,
"Average production costs, per barrel - bitumen",19.22,,,,,,
"Average production costs, per barrel - synthetic oil",33.61,,,,,,
"Average production costs, per barrel - bitumen",—,19.22,—,—,—,—,19.22
"Average production costs, per barrel - synthetic oil",—,33.61,—,—,—,—,33.61
During 2019,,,,,,,
Consolidated Subsidiaries,,,,,,,
"Crude oil, per barrel",54.41,59.39,63.59,65.64,64.14,61.08,61.04
"NGL, per barrel",18.94,16.59,30.56,41.41,24.64,30.55,22.85
"Natural gas, per thousand cubic feet",1.54,1.44,4.50,1.49,2.07,6.26,3.05
"Bitumen, per barrel",—,36.25,—,—,—,—,36.25
"Synthetic oil, per barrel",—,56.18,—,—,—,—,56.18
"Average production costs, per oil-equivalent barrel - total",12.25,23.41,13.69,17.51,7.34,6.60,13.43
"Average production costs, per barrel - bitumen",—,24.18,—,—,—,—,24.18
"Average production costs, per barrel - synthetic oil",—,40.38,—,—,—,—,40.38
"Crude oil, per barrel",60.95,—,58.72,—,58.74,—,59.15
"NGL, per barrel",15.63,—,—,—,26.28,—,35.76
Equity Companies,Average production prices,"Crude oil, per barrel","NGL, per barrel","Natural gas, per thousand cubic feet","Average production costs, per oil-equivalent barrel - total",,
Average production prices,—,—,—,—,—,,
"Crude oil, per barrel",60.95,58.72,58.74,59.15,,,
"NGL, per barrel",15.63,—,—,36.28,35.76,,
"Natural gas, per thousand cubic feet",1.75,5.01,5.24,5.17,,,
"Average production costs, per oil-equivalent barrel - total",28.17,14.04,2.03,5.16,,,
Total,Average production prices,"Crude oil, per barrel","NGL, per barrel","Natural gas, per thousand cubic feet","Average production costs, per oil-equivalent barrel - total",,
Average production prices,55.08,59.39,63.41,65.64,"62.27,61.08,60.73",,
"Crude oil, per barrel",18.90,16.59,30.56,41.41,"33.23,30.55,25.89",,
"NGL, per barrel",1.54,1.44,4.73,1.49,"4.49,6.26,3.82",,
"Natural gas, per thousand cubic feet",—,—,—,—,"—,—,—",,
"Bitumen, per barrel",36.25,—,—,—,"—,—,36.25",,
"Synthetic oil, per barrel",—,56.18,—,—,"—,—,56.18",,
"Average production costs, per oil-equivalent barrel - total",13.08,23.41,13.80,17.56,"4.39,6.60,11.51",,
"Average production costs, per barrel - bitumen",—,24.18,—,—,"—,—,24.18",,
"Average production costs, per barrel - synthetic oil",—,40.38,—,—,"—,—,40.38",,
