Lease Cost,Drilling Rigs and Related Equipment,Other,Total,Finance Leases
Operating lease cost,297,1256,1553,530
Short-term and other (net of sublease rental income),530,1083,1613,143
Amortization of right of use assets,169,312,312,169
Interest on lease liabilities,827,2339,3166,312
Total,1164,2312,3476,254
Operating lease cost,238,1196,1434,926
Short-term and other (net of sublease rental income),1196,1116,2042,121
Amortization of right of use assets,133,254,254,133
Interest on lease liabilities,1164,2312,3476,254
Total,1164,2312,3476,254
