,OperatingLeases,OperatingLeases,OperatingLeases,Finance Leases
,Drilling Rigs and Related Equipment,Other,Total,Finance Leases
,(millions of dollars),(millions of dollars),(millions of dollars),
Lease Cost,2020,2020,2020,
Operating lease cost,297,"1,256","1,553",
Short-term and other (net of sublease rental income),530,"1,083","1,613",
Amortization of right of use assets Interest on lease liabilities,,,,143
Total,827,"2,339","3,166",169 312
Total,,,,
Total,Drilling Rigs,Operating Leases,,
Total,andRelated Equipment,Other (millions ofdollars),Total,Finance Leases
Lease Cost Operating lease cost,,2019,,
Short-term and other (net of sublease rental income),238 926,"1,196","1,434 2,042",
,,"1,116",,
Amortization of right of use assets,,,,121
Interest on lease liabilities,,,,133
Total,"1,164","2,312","3,476",254
