,2020,2019,2018
(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars)
Income (Loss) before income taxes,,,
United States,"(27,704)",(53),"5,200"
Non-U.S.,"(1,179)","20,109","25,753"
Total,"(28,883)","20,056","30,953"
Theoretical tax,"(6,065)","4,212","6,500"
Effect of equity method of accounting,(364),"(1,143)","(1,545)"
Non-U.S. taxes in excess of/(less than) theoretical U.S. tax (l)(2),"1,606","2,573","4,626"
"State taxes, net of federal tax benefit (l)",,,100
Enactment-date effects of U.S.tax reform,(603),(144),
Other,(206),(216),142
Total income tax expense (credit),"(5,632)","5,282","9,532"
Effective tax rate calculation,,,
Income tax expense (credit),"(5,632)","5,282",
ExxonMobil share of equity company income taxes,861,"2,490","9,532"
Total income tax expense (credit),"(4,771)","7,772","3,142 12,674"
Net income (loss) including noncontrolling interests,"(23,251)","14,774","21,421"
Total income (loss) before taxes,"(28,022)","22,546","34,095"
Effective income tax rate,17 %,34%,37%
