"(positions and ages as of February 24, 2021)","(positions and ages as of February 24, 2021)"
Darren W.Woods,Chairman of the Board
Held current title since:,"January 1, 2017 Age: 56"
"Mr.Darren W.WoodsbecameaDirectorand PresidentofExxonMobilCorporationonJanuary1,2016,andChairmanoftheBoard andChiefExecutiveOficerofExxonobilCorprationonJanuary12017,positionshecontiuestooldasofthisfilingate.","Mr.Darren W.WoodsbecameaDirectorand PresidentofExxonMobilCorporationonJanuary1,2016,andChairmanoftheBoard andChiefExecutiveOficerofExxonobilCorprationonJanuary12017,positionshecontiuestooldasofthisfilingate."
Neil A. Chapman,Senior Vice President
Held current title since:,"January 1, 2018 Age: 58"
"Mr.NeilA.ChapmanwasPresident of ExxonMobil Chemical CompanyandVicePresident of ExxonMobil Corporation January1,2015-December31,2017.HebecameSenirVicePresidentofExxonMobilCorporationonJauary1,018,aosition he continues to hold as of this filing date.","Mr.NeilA.ChapmanwasPresident of ExxonMobil Chemical CompanyandVicePresident of ExxonMobil Corporation January1,2015-December31,2017.HebecameSenirVicePresidentofExxonMobilCorporationonJauary1,018,aosition he continues to hold as of this filing date."
Andrew P.Swiger,Senior Vice President
"Held current title since: April 1, 2009",Age: 64
"Mr.AndrewPSwigerbecameeniorVicePresidentofExxonMobilCorporationonApril1,09,apositionhecontiuestohold as of this filing date.","Mr.AndrewPSwigerbecameeniorVicePresidentofExxonMobilCorporationonApril1,09,apositionhecontiuestohold as of this filing date."
"Jack P. Williams, Jr. Senior Vice President",
"Held current title since: June 1, 2014","Held current title since: June 1, 2014"
"Mr.JackP.Wiliams,Jr.becameSeniorViceresidentofExxonMobilCorporationonJune1,2O14,apositionhecontiuestohold as of this filing date.","Mr.JackP.Wiliams,Jr.becameSeniorViceresidentofExxonMobilCorporationonJune1,2O14,apositionhecontiuestohold as of this filing date."
Ian S. Carr Vice President,Ian S. Carr Vice President
"Held current title since: September 1,2020 Age: 57 Mr.IanS.CarrwasVicePresident,StrategyandPlanning,ExxonMobilRefining&SupplyCompanyMay1,2O14-July1,2017.","Held current title since: September 1,2020 Age: 57 Mr.IanS.CarrwasVicePresident,StrategyandPlanning,ExxonMobilRefining&SupplyCompanyMay1,2O14-July1,2017."
"HewasVicePresident,UpstreamStrategyandPlanningExxonMobilGas&PowerMarketingCompanyAugust12017 March312019.HeasVicePresidentSrategyndPortfolioaagementExxonMobilUpstreamBusinessDevelopent CompanyApril1019eptember019.HeaseniorViceresidentFuelsExxonobilFuelsLubricantsoy October1,2019-August312020.HebecamePresidentofExxonMobilFuels &LubricantsCompanyndVicePresidentofExon Mobil Corporation on September 1,2020,positions he continues to hold as of this filing date.","HewasVicePresident,UpstreamStrategyandPlanningExxonMobilGas&PowerMarketingCompanyAugust12017 March312019.HeasVicePresidentSrategyndPortfolioaagementExxonMobilUpstreamBusinessDevelopent CompanyApril1019eptember019.HeaseniorViceresidentFuelsExxonobilFuelsLubricantsoy October1,2019-August312020.HebecamePresidentofExxonMobilFuels &LubricantsCompanyndVicePresidentofExon Mobil Corporation on September 1,2020,positions he continues to hold as of this filing date."
Linda D.DuCharme Vice President,"President,ExxonMobil Integrated Solutions Company Age: 56"
