Year-End 2020,Gross,Net,Year-End 2019,Gross,Net
Gross and Net Developed Acreage,Consolidated Subsidiaries,United States,12834,7971,"13283,8097"
Gross and Net Developed Acreage,Canada/Other Americas (1),2944,2071,3020,2100
Gross and Net Developed Acreage,Europe,2231,1189,2229,1182
Gross and Net Developed Acreage,Africa,2409,818,2409,832
Gross and Net Developed Acreage,Asia,1938,561,1938,561
Gross and Net Developed Acreage,Australia/Oceania,3262,1068,3262,1068
Gross and Net Developed Acreage,Total Consolidated Subsidiaries,25618,13678,26141,13840
Gross and Net Developed Acreage,Equity Companies,United States,928,208,"926,207"
Gross and Net Developed Acreage,Europe,3667,1118,4069,1280
Gross and Net Developed Acreage,Asia,701,160,628,155
Gross and Net Developed Acreage,Total Equity Companies,5296,1486,5623,1642
Gross and Net Developed Acreage,Total gross and net developed acreage,30914,15164,31764,15482
