Financial,Earnings (Loss) After Income Taxes,Average Capital Employed,Return on Average Capital Employed,Capital and Exploration Expenditures
Upstream,United States,(19,385),"65,780,(29.5),6,817"
Upstream,Non-U.S.,(645),107,"506,(0.6),7,614"
Upstream,Total,(20,030),"173,286,(11.6),14,431"
Downstream,United States,(852),11,"472,(7.4),2,344"
Downstream,Non-U.S.,(225),18,"682,(1.2),1,877"
Downstream,Total,(1,077),"30,154,(3.6),4,221"
Chemical,United States,1,277,"14,436,8.8,2,002"
Chemical,Non-U.S.,686,17,"600,3.9,714"
Chemical,Total,1,963,"32,036,6.1,2,716"
Corporate and financing,Total,(3,296),"(1,445),6.5,6"
