,2020,2019,2018
,"(millions ofdollars,except where stated otherwise)",,
Sales and other operating revenue,"178,574","255,583","279,332"
Earnings (Loss) Upstream,"(20,030)","14,442","14,079"
Downstream,"(1,077)","2,323","6,010"
Chemical,"1,963",592,"3,351"
Corporate and financing,"(3,296)","(3,017)",
Net income (loss) attributable to ExxonMobil,,,"(2,600)"
Earnings (Loss) per common share (dollars),"(22,440)","14,340","20,840"
Earnings (Loss) per common share -assuming dilution (dollars),(5.25) (5.25),3.36 3.36,4.88 4.88
Earnings (Loss) to average ExxonMobil share of equity (percent),,,
,(12.9),7.5,11.0
Working capital Ratio of current assets to current liabilities (times),"(11,470) 0.80","(13,937) 0.78","(9,165) 0.84"
"Additions to property, plant and equipment","17,342","24,904","20,051"
"Property, plant and equipment, less allowances Total assets","227,553","253,018","247,101"
,"332,750","362,597","346,196"
"Exploration expenses, including dry holes Research and development costs","1,285","1,269","1,466"
,"1,016","1,214","1,116"
Long-term debt,"47,182","26,342","20,538"
Total debt,"67,640","46,920","37,796"
Debt to capital (percent),29.2,19.1,16.0
Net debt to capital (percent) (l),27.8,18.1,14.9
ExxonMobil share of equity at year-end,,,
ExxonMobil share of equity per common share (dollars),"157,150","191,650","191,794"
Weighted average number of common shares,37.12,45.26,45.27
outstanding (millions),"4,271","4,270","4,270"
Number of regular employees at year-end (thousands) (2),72.0,74.9,71.0
