United States,Owned/leased,,Distributors/resellers,,Total United States
United States,,,,10,"982,,10,982"
Canada,Owned/leased,,Distributors/resellers,,Total Canada
Canada,,,,2,"370,,2,370"
Europe,Owned/leased,,Distributors/resellers,,Total Europe
Europe,,,,197,",5,764,,5,961"
Asia Pacific,Owned/leased,,Distributors/resellers,,Total Asia Pacific
Asia Pacific,,,,569,",1,243,,1,812"
Latin America,Owned/leased,,Distributors/resellers,,Total Latin America
Latin America,,,,,",411,,411"
Middle East/Africa,Owned/leased,,Distributors/resellers,,Total Middle East/Africa
Middle East/Africa,,,,225,",192,,417"
Worldwide,Owned/leased,,Distributors/resellers,,Total Worldwide
Worldwide,,,,991,",20,962,,21,953"
