Drilling Rigs and Related Equipment,Other,Total,Finance Leases
Balance Sheet,,,
Right of use assets,,,
"Included in Other assets, including intangibles - net",834,"5,244","6,078"
"Included in Property, plant and equipment - net",,,
Total right of use assets,,,
834,"5,244","6,078","2,188"
Lease liability due within one year,,,
Included in Accounts payable and accrued liabilities,243,925,"1,168,4"
Included in Notes and loans payable,,,
Long-term lease liability,,,
Included in Other long-term obligations,589,"3,405","3,994"
Included in Long-term debt,,,
Included in Long-term obligations to equity companies,,,
Total lease liability,,,
832,"4,330","5,162","1,921"
Weighted average remaining lease term - years,5,12,"11,20"
Weighted average discount rate - percent,2.2 %,3.0 %,"2.9 %,8.9 %"
Balance Sheet,,,
Right of use assets,,,
"Included in Other assets, including intangibles - net",572,"6,061","6,633"
"Included in Property, plant and equipment - net",,,
Total right of use assets,,,
572,"6,061","6,633","1,997"
Lease liability due within one year,,,
Included in Accounts payable and accrued liabilities,221,990,"1,211,15"
Included in Notes and loans payable,,,
Long-term lease liability,,,
Included in Other long-term obligations,330,"4,152","4,482"
Included in Long-term debt,,,
Included in Long-term obligations to equity companies,,,
Total lease liability,,,
551,"5,142","5,693","1,908"
Weighted average remaining lease term - years,4,11,"10,20"
Weighted average discount rate - percent,3.1 %,3.2 %,"3.2 %,9.7 %"
