U.S.,Non-U.S.,Total,U.S.,Non-U.S.,Total
Income tax expense (benefit),,,,,
Federal and non-U.S.,,,,,
Current,262,"2,908","3,170",(121),"6,171,6,050,459,9,001,9,460"
Deferred - net,"(6,045)","(2,007)","(8,052)",(255),"(420),(675),518,(614),(96)"
U.S. tax on non-U.S. operations,13,—,13,89,"—,89,42,—,42"
Total federal and non-U.S.,"(5,770)",901,"(4,869)",(287),"5,751,5,464,1,019,8,387,9,406"
State,(763),—,(763),(182),"—,(182),126,—,126"
Total income tax expense (benefit),"(6,533)",901,"(5,632)",(469),"5,751,5,282,1,145,8,387,9,532"
All other taxes and duties,,,,,
Other taxes and duties,"3,108","23,014","26,122","3,566","26,959,30,525,3,498,29,165,32,663"
Included in production and manufacturing expenses,"1,148",663,"1,811","1,385","811,2,196,1,245,857,2,102"
Included in SG&A expenses,164,328,492,160,"305,465,153,312,465"
Total other taxes and duties,"4,420","24,005","28,425","5,111","28,075,33,186,4,896,30,334,35,230"
Total,"(2,113)","24,906","22,793","4,642","33,826,38,468,6,041,38,721,44,762"
