Total Pension and Other Postretirement Benefits,2020,2019,2018
"(Charge)/credit to other comprehensive income, before tax",U.S. pension,"1,145","(135),156"
,Non-U.S. pension,(90),"(1,402)"
,,823,678
,Other postretirement benefits,134,(504)
"Total (charge)/credit to other comprehensive income, before tax",,"1,189","(2,041)"
,,"1,657",
(Charge)/credit to income tax (see Note 4),,(153),550
,,(470),
(Charge)/credit to investment in equity companies,,(110),(19)
,,24,
"(Charge)/credit to other comprehensive income including noncontrolling interests, after tax",,926,"(1,510)"
,,"1,211",
Charge/(credit) to equity of noncontrolling interests,,30,146
,,(114),
(Charge)/credit to other comprehensive income attributable to ExxonMobil,,956,"(1,364)"
,,"1,097",
