,OperatingLeases Drilling Rigs,OperatingLeases Drilling Rigs,OperatingLeases Drilling Rigs,,,
,and Related Equipment,Other,,Total,Finance Leases,
Balance Sheet,,(millions of dollars),,,,
,,,"December 31, 2020",,,
Right of use assets,,,,,,
"Included in Other assets, including intangibles - net",834,,"5,244","6,078",,
"Included in Property,plant and equipment - net",,,,,"2,188",
Total right of use assets,834,,"5,244","6,078","2,188",
Lease liability due within one year,,,,,,
Included in Accounts payable and accrued liabilities,243,,925,"1,168",4,
Included in Notes and loans payable,,,,,102,
Long-term lease liability,,,,,,
Included in Other long-term obligations,589,"3,405",,"3,994",,
Included in Long-term debt,,,,,"1,680",
Included in Long-term obligations to equity companies,,,,,135,
Total lease liability,832,"4,330",,"5,162","1,921",
Weighted average remaining lease term - years,5,12,,11,20,
Weighted average discount rate - percent,2.2 %,,3.0%,2.9 %,8.9 %,
,,Operating Leases,,,,
,Drilling Rigs,,,,,
,and Related,Other,,Total,Finance,
,Equipment,,,,Leases,
,,,(millions of dollars),,,
Balance Sheet,,,"December 31, 2019",,,
Right of use assets,,,,,,
"Included in Other assets, including intangibles - net",572,,"6,061","6,633",,
"Included in Property, plant and equipment - net",,,,,"1,997",
Total right of use assets,572,,"6,061","6,633","1,997",
Lease liability due within one year,,,,,,
Included in Accounts payable and accrued liabilities,221,,990,"1,211",15,
Included in Notes and loans payable,,,,,84,
Long-term lease liability,,,,,,
Included in Other long-term obligations,330,"4,152",,"4,482",,
Included in Long-term debt,,,,,"1,670",
Included in Long-term obligations to equity companies,,,,,139,
Total lease liability,551,"5,142",,"5,693","1,908",
Weighted average remaining lease term - years,4,,11,10,20,
Weighted average discount rate - percent,3.1%,,3.2 %,3.2 %,9.7 %,
