Total United States,"1,764"
United States\tJoliet\tIllinois\t254\t100,
United States\tBaton Rouge\tLouisiana\t520\t100,
United States\tBillings\tMontana\t60\t100,
United States\tBaytown\tTexas\t561\t100,
United States\tBeaumont\tTexas\t369\t100,
Total United States\t\t\t1,764\t
Canada,
Strathcona,"Alberta,196,69.6"
Nanticoke,"Ontario,113,69.6"
Sarnia,"Ontario,119,69.6"
Total Canada,428
Europe,
Antwerp,"Belgium,307,100"
Fos-sur-Mer,"France,133,82.9"
Gravenchon,"France,244,82.9"
Region    Country    Units    % of Total,
Europe    France     133      82.9,
Europe    France     244      82.9,
Europe    Germany    78       25,
Europe    Italy      132      75.2,
Europe    Netherlands 192      100,
Europe    Norway     116      100,
Europe    United Kingdom 262    100,
Europe    Total Europe 1,464
Asia Pacific Australia 88      100,
Asia Pacific China    67       25,
Asia Pacific\tAltona (3)\tAustralia\t88\t100,
Asia Pacific\tFujian\tChina\t67\t25,
Asia Pacific\tJurong/PAC\tSingapore\t592\t100,
Asia Pacific\tSriracha\tThailand\t167\t66,
Asia Pacific\tTotal Asia Pacific\t\t914\t,
Middle East\tYanbu\tSaudi Arabia\t200\t50,
Total Worldwide\t\t\t\t4,770\t
Total Worldwide	4,770
