Results of Operations,United States,Canada/Other Americas,Europe,Africa,Asia,Australia/Oceania,Total
Consolidated Subsidiaries,2020 - Revenue,Sales to third parties,2933,1034,536,262,"1632,1983,8380"
,Transfers,4943,3938,362,4603,5584,"509,19939"
,7876,4972,898,4865,7216,2492,28319
,Production costs excluding taxes,3877,3928,786,1911,1471,"483,12456"
,Exploration expenses,51,573,33,371,112,"145,1285"
,Depreciation and depletion,27489,5118,828,2788,2171,"733,39127"
,Taxes other than income,615,106,32,390,692,"152,1987"
,Related income tax,-5650,-944,-343,-258,2130,"241,-4824"
,Results of producing activities for consolidated subsidiaries,-18506,-3809,-438,-337,640,"738,-21712"
Equity Companies,2020 - Revenue,Sales to third parties,410,513,6289,7212,
,Transfers,308,12,60,380,,
,718,525,6349,7592,,,
,Production costs excluding taxes,545,674,421,1646,,
,Exploration expenses,-,2,-,2,,
,Depreciation and depletion,560,224,543,1327,,
,Taxes other than income,34,22,2274,2330,,
,Related income tax,-,-246,-1,1126,879,
,Results of producing activities for equity companies,-421,-151,-5,1985,-,1408
Total results of operations,-18927,-3809,-589,-342,2625,738,-20304
