Business uses: asset and liability perspective,2020,2019,2018
Total assets,"332,750","362,597","346,196"
Less liabilities and noncontrolling interests share of assets and liabilities,,,
Total current liabilities excluding notes and loans payable,"(35,905)","(43,411)","(39,880)"
Total long-term liabilities excluding long-term debt,"(65,075)","(73,328)","(69,992)"
Noncontrolling interests share of assets and liabilities,"(8,773)","(8,839)","(7,958)"
Add ExxonMobil share of debt-financed equity company net assets,"4,140","3,906","3,914"
Total capital employed,"227,137","240,925","232,280"
Total corporate sources: debt and equity perspective,,,
Notes and loans payable,"20,458","20,578","17,258"
Long-term debt,"47,182","26,342","20,538"
ExxonMobil share of equity,"157,150","191,650","191,794"
Less noncontrolling interests share of total debt,"(1,793)","(1,551)","(1,224)"
Add ExxonMobil share of equity company debt,"4,140","3,906","3,914"
Total capital employed,"227,137","240,925","232,280"
