AmountsReclassitiedOutotAccumulatedOther Comprehensive Income - Before-tax Income/(Expense),2020,2019,2018
,(millions of dollars),(millions of dollars),(millions of dollars)
Foreign exchange translation gain/(loss) included in net income (Statement of Income line: Other income) Amortization and settlement of postretirement benefits reserves adjustment included,(14),,(196)
in net periodic benefit costs (Statement of Income line: Non-service pension and postretirement benefit expense),"(1,158)",(751),"(1,208)"
Income Tax (Expense)/Credit For,,,
Components of Other Comprehensive Income,2020,2019,2018
,(millions of dollars),(millions of dollars),(millions of dollars)
Foreign exchange translation adjustment,118,88,32
Postretirement benefits reserves adjustment (excluding amortization),109,719,(193)
Amortization and settlement of postretirement benefits reserves adjustment included in net periodic benefit costs,(262),(169),(277)
Total,(35),638,(438)
