,,Ethylene,Polyethylene,Polypropylene,Paraxylene,ExxonMobil Interest %
,,,(millions of metric tons per year),,,
North America,,,,,,
Baton Rouge,Louisiana,1.1,1.3,0.4,,100
Baytown,Texas,3.9,丨,0.7,0.6,100
Beaumont,Texas,0.9,1.7,1,0.3,100
Mont Belvieu,Texas,1,2.3,,一,100
Sarnia Total North America,Ontario,0.3,0.5,,,69.6
,,6.2,5.8,1.1,0.9,
Europe,,,,,,
Antwerp,Belgium,,0.4,,,100
Fife,United Kingdom,0.4,1,,,50
Gravenchon,France,0.4,0.4,0.3,,100
Meerhout,Belgium,1,0.5,1,,100
Rotterdam,Netherlands,,一,,0.7,100
Total Europe,,0.8,1.3,0.3,0.7,
Middle East,,,,,,
Al Jubail,Saudi Arabia,0.6,0.7,,,50
Yanbu,Saudi Arabia,1.0,0.7,0.2,,50
Total Middle East,,1.6,1.4,0.2,,
Asia Pacific,,,,,,
Fujian,China,0.3,0.2,0.2,0.2,25
Singapore,Singapore,1.9,1.9,0.9,1.8,100
Sriracha,Thailand,1,二,二,0.5,66
Total Asia Pacific,,2.2,2.1,1.1,2.5,
Total Worldwide,,10.8,10.6,2.7,4.1,
