Country/Project,"Dec.31,2020",Years WellsDrilled/Acquired,Comment
(millions of dollars),(millions of dollars),(millions of dollars),(millions of dollars)
Angola,Angola,Angola,Angola
Kaombo Split HubPhase2,10,2006,Evaluating development plan to tie into planned production facilities.
Argentina,Argentina,Argentina,Argentina
- La Invernada,72,2014,Evaluating development plan to tie into planned infrastructure.
Australia,Australia,Australia,Australia
- Gorgon Area Ullage,347,1994 - 2015,Evaluating development plans to tie into existing LNG facilities.
Brazil,,,
Bacalhau Phase 1,284,2018,Continuing discussions with the government regarding development plan.
Canada,,,
-Hibernia North,26,2019,Awaiting capacity in existing/planned infrastructure.
Iraq,Iraq,Iraq,Iraq
- Kurdistan Pirmam,109,2015,"Evaluating commercialization alternatives, while waiting for governmentapproval to enter Gas Holding Period."
Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
- Kairan,53,2004 - 2007,"Evaluating commercialization and field development alternatives, whilecontinuing discussions with the government regarding the developmentplan."
Mozambique,Mozambique,Mozambique,Mozambique
Rovuma LNG FutureNon-Straddling Train,120,2017,Evaluating/progressing development plan to tie into planned LNGfacilities.
Rovuma LNG Phase 1,150,2017,Progressing development plan to tie into planned LNG facilities.
Rovuma LNG UnitizedTrains,35,2017,Evaluating/progressing development plan to tie into planned LNGfacilities.
Nigeria,,,
- Bonga North,34,2004-2009,Evaluating/progressing development plan for tieback to existing/plannedinfrastructure.
Bonga SW,3,2001,Evaluating/progressing development plan for tieback to existing/plannedinfrastructure.
-Bosi,79,2002 - 2006,"Development activity under way, while continuing discussions with thegovernment regarding development plan."
- Owow0,67,2009 - 2016,Evaluating development plan for tieback to existing production facilities.
- Pegi,32,2009,Awaiting capacity in existing/planned infrastructure.
- Ukot SW,41,2014,Evaluating development plan for tieback to existing production facilities.
Papua New Guinea,,,
- Papua LNG,246,2017,Evaluating/progressing development plans.
- P'nyang,116,2012 -2018,Evaluating/progressing development plans.
Romania,,,
- Neptun Deep,536,2012 -2016,Continuing discussions with the government regarding development plan.
Tanzania,,,
Tanzania Block 2,525,2012 -2015,"Evaluating development alternatives, while continuing discussions withthe government regarding development plan."
Vietnam,Vietnam,Vietnam,Vietnam
- Blue Whale,296,2011 -2015,Evaluating/progressing development plans.
Total 2020 (21 projects),"3,181",,
