2020,2019,2018,Net Productive Exploratory Wells Drilled,Consolidated Subsidiaries
United States,4,3,1,
Canada/Other Americas,2,6,4,
Europe,一,1,,1
Africa,1,,1,
Asia,,,,
Australia/Oceania,,1,1,
Total Consolidated Subsidiaries,7,11,7,
Equity Companies,,,,
United States,,,,
Europe,,,,
Africa,,,,
Asia,,,,
Total Equity Companies,,,,
Total productive exploratory wells drilled,7,11,7,
Net Dry Exploratory Wells Drilled,,,,
Consolidated Subsidiaries,,,,
United States,,,,3
Canada/Other Americas,,1,,
Europe,,1,,
Africa,,,,1
Asia,1,,,
Australia/Oceania,,,,1
Total Consolidated Subsidiaries,2,1 3,2 6,
Equity Companies United States,,,,
Europe,,,,
Africa,,,,
Asia,,,,
Total Equity Companies,,,,
Total dry exploratory wells drilled,2,3,6,
