Consolidated and Equity Interests,Consolidated Subsidiaries,Share of Equity Method Investees,Total Consolidated and Equity Interests
"Discounted future net cash flows as of December 31, 2018",106104,37572,143676
"Value of reserves added during the year due to extensions, discoveries, improved recovery and net purchases/sales less related costs",-1252,4,-1248
Changes in value of previous-year reserves due to:,,-,
"Sales and transfers of oil and gas produced during the year, net of production (lifting) costs",-29159,-8202,-37361
Development costs incurred during the year,16544,2927,19471
"Net change in prices, lifting and development costs",-66455,-21046,-87501
Revisions of previous reserves estimates,4906,657,5563
Accretion of discount,11433,3956,15389
Net change in income taxes,25379,6548,31927
Total change in the standardized measure during the year,-38604,-15156,-53760
"Discounted future net cash flows as of December 31, 2019",67500,22416,89916
