"Production of crude oil, natural gas liquids, bitumen and synthetic oil",2020,2019,2018
Net production,(thousands of barrels daily),(thousands of barrels daily),(thousands of barrels daily)
United States,685,646,551
Canada/Other Americas,536,467,438
,30,108,132
Europe Africa,,372,387
Asia,312,,
Australia/Oceania,742,748 45,711 47
Worldwide,"44 2,349","2,386","2,266"
Natural gas production available for sale,,,
Net production,(millionsofcubic feet daily),(millionsofcubic feet daily),(millionsofcubic feet daily)
United States,"2,691","2,778","2,574"
Canada/Other Americas,277,258,227
Europe,789,"1,457","1,653"
Africa,9,7,13
Asia,"3,486","3,575","3,613"
Australia/Oceania,"1,219","1,319 9,394","1,325 9,405"
Worldwide,"8,471","8,471","8,471"
Oil-equivalent production (1),"(thousands ofoil-equivalent barrels daily) 3,761 3,952","(thousands ofoil-equivalent barrels daily) 3,761 3,952","(thousands ofoil-equivalent barrels daily) 3,761 3,952"
Refinery throughput United States,(thousands of barrels daily),(thousands of barrels daily),(thousands of barrels daily)
Canada,"1,549 340","1,532","1,588"
Europe,,353,392
Asia Pacific,"1,173","1,317","1,422"
,553,598,706
Other Non-U.S.,158,181,164
Worldwide,"3,773","3,981","4,272"
Petroleum product sales (2),,,
United States,"2,154 418","2,292","2,210"
Canada Europe,,476,510
,"1,253","1,479","1,556"
Asia Pacific and other Eastern Hemisphere,"1,014","1,156","1,200"
Latin America,56,49,36
Worldwide,"4,895","5,452","5,512"
"Gasoline, naphthas","1,994","2,220","2,217"
"Heating oils, kerosene,diesel oils","1,751","1,867","1,840"
Aviation fuels,213,406,402
Heavy fuels,249,270,395
Specialty petroleum products,688,689,658
Worldwide,"4,895","5,452","5,512"
Chemical prime product sales (2),"9,010",(thousands ofmetric tons),
United States,,"9,127","9,824"
Non-U.S.,"16,439","17,389","17,045"
Worldwide,"25,449","26,516","26,869"
