,United,Canada/ Other,,,,Australia/,
Results of Operations,States Americas,Europe,,Africa,Asia,Oceania,Total
Consolidated Subsidiaries,,,,(millions ofdollars),,,
2019 - Revenue,,,,,,,
Sales to third parties,"5,070","1,452","2,141",802,"2,393","3,132","14,990"
Transfers,"6,544","5,979","1,345","7,892","8,706",628,"31,094"
,"11,614","7,431","3,486","8,694","11,099","3,760","46,084"
Production costs excluding taxes,"4,697","4,366","1,196","2,387","1,597",637,"14,880"
Exploration expenses,120,498,118,234,119,180,"1,269"
Depreciation and depletion,"5,916","1,975",601,"3,019","2,264",703,"14,478"
Taxes other than income,998,122,113,682,"1,182",250,"3,347"
Related income tax,(29),(423),(20),"1,188","4,238",599,"5,553"
Results of producing activities for consolidated subsidiaries,(88),893,"1,478","1,184","1,699","1,391","6,557"
Equity Companies 2019 - Revenue,,,,,,,
Sales to third parties,664,,"1,248",,"10,536",,12.448
Transfers,530,,6,,464,,"1,000"
,"1,194",,"1,254",,"11,000",,"13,448"
Production costs excluding taxes,595,,570,6,555,,"1,726"
Exploration expenses,1,,4,,,,5
Depreciation and depletion,379,,231,,528,,"1,138"
,33,,75,,"3,634",,"3,742"
Taxes other than income,,,180,,,,
Related income tax,,,194,(1),"2,275",,"2,454"
Results of producing activities for equity companies,186,,,5),"4,008",,4383
Total results of operations,98,893,"1,672","1,179","5,707","1,391","10,940"
Consolidated Subsidiaries,,,,,,,
2018 - Revenue,,,,,,,
Sales to third parties,"5,914","1,491","3,680","1,136","2,431","3,256","17,908"
Transfers,"5,822","4,633","1,573","8,844","8,461",873,"30,206"
,"11,736","6,124","5,253","9,980","10,892","4,129","48,114"
Production costs excluding taxes,"3,915","4,211","1,348","2,454","1,501",680,"14,109"
Exploration expenses,237,434,140,318,209,128,"1,466"
Depreciation and depletion,"5,775","1,803",665,"2,788","2,088",809,"13,928"
Taxes other than income,953,133,128,799,"1,155",335,"3,503"
Related income tax,250,(121),"1,934","1,766","4,008",622,"8,459"
Results of producing activities for consolidated subsidiaries,606,,"1,038","1,855","1,931","1,555","6,649"
,,(336),,,,,
Equity Companies 2018 - Revenue,,,,,,,
Sales to third parties,747,,"1,420",,12.028,,"14,195"
Transfers,588,,8,,935,,"1,531"
,"1,335",,,,,,"15,726"
Production costs excluding taxes,535,,"1,428",,"12,963",,"1,694"
Exploration expenses,1,,745,5,409 5,,10
Depreciation and depletion,248,,4,,462,,882
Taxes other than income,,,172,,,,
,33,,61,,"4,104",,"4,198"
Related income tax,,,271,(1),"2,726",,2.996
Results of producing activities for equity companies,518,,175,(4),"5,257",,"5,946"
