Operating,2020,2019,thousands of barrels daily
Net liquids production,United States,685,646
Non-U.S.,"1,664","1,740",
Total,"2,349","2,386",
Refinery throughput,United States,"1,549","1,532"
Non-U.S.,"2,224","2,449",
Total,"3,773","3,981",
Natural gas production available for sale,United States,"2,691","2,778,millions of cubic feet daily"
Non-U.S.,"5,780","6,616",
Total,"8,471","9,394",
Petroleum product sales (2),United States,"2,154","2,292,thousands of barrels daily"
Non-U.S.,"2,741","3,160",
Total,"4,895","5,452",
Oil-equivalent production (1),"3,761","3,952",thousands of oil-equivalent barrels daily
Chemical prime product sales (2) (3),United States,"9,010","9,127,thousands of metric tons"
Non-U.S.,"16,439","17,389",
Total,"25,449","26,516",
