Capitalized Costs,Capitalized Costs,United States,Canada/ Other Americas,Canada/ Other Americas,Canada/ Other Americas,,Australia/ Oceania,Total
Capitalized Costs,Capitalized Costs,United States,Europe,(millions of dollars),Africa,,Australia/ Oceania,Total
Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries,Consolidated Subsidiaries
"As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020"
Property (acreage) costs - Proved,,"18,059","2,151",51,"1,332","2,979",771,"25,343"
,- Unproved,"23,255","7,352",37,213,181,"2,642","33,680"
Total property costs,,"41,314","9,503",88,"1,545","3,160","3,413","59,023"
Producing assets,,"104,650","52,552","20,286","55,556","43,394","15,348","291,786"
Incomplete construction,,"5,549","4,590","1,446","1,975","3,050","1,972","18,582"
Total capitalized costs,,"151,513","66,645","21,820","59,076","49,604","20,733","369,391"
Accumulated depreciation and depletion,Accumulated depreciation and depletion,"89,401","26,635","19,193","46,567","24,701","8,628","215,125"
Net capitalized costs for consolidated subsidiaries,Net capitalized costs for consolidated subsidiaries,"62,112","40,010",2.627,"12,509","24,903","12,105","154,266"
Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies
"As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020"
Property (acreage) costs -Proved,,98,,4,286,,,388
,- Unproved,4,,,"3,134",,,"3,138"
Total property costs,,102,,4,"3,420",一,,"3,526"
Producing assets,,6.975,,"5,932",丨,"8,547",,"21,454"
Incomplete construction,,138,,34,721,"10,527",,"11,420"
Total capitalized costs,,"7,215",,"5,970","4,141","19,074",,"36,400"
Accumulated depreciation and depletion,,"3,854",,"5,462",一,"5,911",,"15,227"
Net capitalized costs for equity companies,,"3,361",,508,"4,141","13,163",,"21,173"
"Consolidated Subsidiaries As of December 31, 2019","Consolidated Subsidiaries As of December 31, 2019","Consolidated Subsidiaries As of December 31, 2019","Consolidated Subsidiaries As of December 31, 2019","Consolidated Subsidiaries As of December 31, 2019","Consolidated Subsidiaries As of December 31, 2019","Consolidated Subsidiaries As of December 31, 2019","Consolidated Subsidiaries As of December 31, 2019","Consolidated Subsidiaries As of December 31, 2019"
Property (acreage)costs - Proved,,"19,046","2,579",49,988,"2,971",719,"26,352"
,,"23,725","7,113",37,166,181,"2,638","33,860"
Total property costs,- Unproved,"42,771","9,692",86,"1,154","3,152","3,357","60,212"
Producing assets,,"99,405","49,942","18,982","55,436","41,181","13,670","278,616"
Incomplete construction,,"6,086","4,315","1,514","2,717","4,299","1,811","20,742"
Total capitalized costs,,"148,262","63,949","20,582","59,307","48,632","18,838","359,570"
Accumulated depreciation and depletion,,"63,333","21,533","17,544","43,743","22,497","7,235","175,885"
Net capitalized costs for consolidated subsidiaries,,"84,929","42,416",3.038,,,,
,,,,,"15,564","26,135","11,603","183,685"
Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies,Equity Companies
"As of December 31,2019","As of December 31,2019","As of December 31,2019","As of December 31,2019","As of December 31,2019","As of December 31,2019","As of December 31,2019","As of December 31,2019","As of December 31,2019"
Property (acreage)costs - Proved,,99,,4,308,,,411
,-Unproved,6,,,"3,112",,,"3,118"
Total property costs,,105,,4,"3,420",一,,"3,529"
Producing assets,,"6,825",,"5,413",,"7,731",,"19,969"
Incomplete construction,,212,,19,650,"9,581",,"10,462"
Total capitalized costs,,"7,142",,"5,436","4,070","17,312",,"33,960"
Accumulated depreciation and depletion,,"3,288",,"4,778",,"5,380",,"13,446"
Net capitalized costs for equity companies,,"3,854",,658,"4,070","11,932",,"20,514"
